submitted_at_iso,participant_name,gender,age,access_timestamp_iso,access_timestamp_local,score,misses,targets_presented,accuracy_pct,avg_reaction_time_ms,best_reaction_time_ms,worst_reaction_time_ms,median_reaction_time_ms,sd_reaction_time_ms,hits_per_second,session_duration_s,reaction_times_ms,user_agent,app_source
2026-09-01T08:12:04Z,Aisha Rahman,Female,24,2026-09-01T08:12:04Z,01/09/2026 16:12,13,3,16,81.3,548,441,712,536,74,0.433,30,"[441,489,512,536,701,712,498,523,561,604,472,516,588]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X),virtual-blazepod
2026-09-01T09:45:31Z,Marcus Tan,Male,31,2026-09-01T09:45:31Z,01/09/2026 17:45,11,4,15,73.3,592,468,795,571,92,0.367,30,"[468,521,547,571,634,795,502,588,613,701,489]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-02T10:03:18Z,Priya Nair,Female,19,2026-09-02T10:03:18Z,02/09/2026 18:03,16,2,18,88.9,489,398,644,472,66,0.533,30,"[398,421,447,462,472,488,503,517,533,548,566,581,599,618,631,644]",Mozilla/5.0 (Linux; Android 14; Pixel 8),virtual-blazepod
2026-09-02T11:22:55Z,Daniel Lee,Male,45,2026-09-02T11:22:55Z,02/09/2026 19:22,9,6,15,60.0,678,531,912,651,116,0.300,30,"[531,588,624,651,702,788,912,596,634]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-03T07:55:12Z,Chloe Wong,Female,27,2026-09-03T07:55:12Z,03/09/2026 15:55,14,3,17,82.4,561,452,738,548,79,0.467,30,"[452,498,521,548,573,612,738,489,534,566,588,507,619,641]",Mozilla/5.0 (iPad; CPU OS 17_5 like Mac OS X),virtual-blazepod
2026-09-03T13:40:47Z,Ryan Goh,Male,22,2026-09-03T13:40:47Z,03/09/2026 21:40,15,2,17,88.2,512,421,689,498,71,0.500,30,"[421,447,468,489,498,512,531,548,566,581,599,618,634,652,689]",Mozilla/5.0 (Linux; Android 13; SM-S918B),virtual-blazepod
2026-09-04T08:30:00Z,Nurul Huda,Female,36,2026-09-04T08:30:00Z,04/09/2026 16:30,12,4,16,75.0,614,489,834,598,98,0.400,30,"[489,534,571,598,634,701,834,512,566,588,623,649]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-04T15:18:39Z,Ethan Sim,Male,29,2026-09-04T15:18:39Z,04/09/2026 23:18,13,3,16,81.3,571,463,748,556,82,0.433,30,"[463,508,531,556,588,624,748,489,542,573,601,517,619]",Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X),virtual-blazepod
2026-09-05T09:12:21Z,Grace Lim,Female,52,2026-09-05T09:12:21Z,05/09/2026 17:12,8,7,15,53.3,712,566,948,689,121,0.267,30,"[566,634,689,712,788,901,948,624]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-05T16:44:08Z,Kevin Ong,Male,38,2026-09-05T16:44:08Z,06/09/2026 00:44,11,4,15,73.3,598,478,801,581,94,0.367,30,"[478,523,558,581,619,688,801,509,566,594,621]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-06T08:05:53Z,Siti Aminah,Female,21,2026-09-06T08:05:53Z,06/09/2026 16:05,16,1,17,94.1,478,392,631,462,64,0.533,30,"[392,418,441,462,478,493,509,524,541,558,573,589,604,619,631,458]",Mozilla/5.0 (Linux; Android 14; Pixel 7),virtual-blazepod
2026-09-06T14:29:36Z,Jason Chua,Male,26,2026-09-06T14:29:36Z,06/09/2026 22:29,14,3,17,82.4,534,438,701,521,74,0.467,30,"[438,478,501,521,548,588,701,467,512,539,566,489,523,551]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X),virtual-blazepod
2026-09-07T10:51:14Z,Michelle Teo,Female,33,2026-09-07T10:51:14Z,07/09/2026 18:51,12,4,16,75.0,588,471,798,571,91,0.400,30,"[471,518,552,571,608,674,798,503,558,586,619,634]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-07T17:33:29Z,Bryan Koh,Male,41,2026-09-07T17:33:29Z,08/09/2026 01:33,10,5,15,66.7,641,512,864,624,106,0.333,30,"[512,566,608,624,671,748,864,548,589,618]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-08T08:47:02Z,Fatimah Yusof,Female,18,2026-09-08T08:47:02Z,08/09/2026 16:47,17,1,18,94.4,467,381,618,451,63,0.567,30,"[381,406,428,447,451,466,481,496,511,527,542,558,573,589,604,618,439]",Mozilla/5.0 (Linux; Android 13; SM-A546E),virtual-blazepod
2026-09-08T13:15:48Z,Alex Ng,Male,34,2026-09-08T13:15:48Z,08/09/2026 21:15,12,3,15,80.0,566,458,724,551,80,0.400,30,"[458,503,528,551,583,624,724,489,534,561,588,507]",Mozilla/5.0 (iPad; CPU OS 17_5 like Mac OS X),virtual-blazepod
2026-09-09T09:38:11Z,Rachel Tan,Female,47,2026-09-09T09:38:11Z,09/09/2026 17:38,9,6,15,60.0,668,528,891,644,113,0.300,30,"[528,588,631,644,698,779,891,586,612]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-09T15:52:37Z,Wei Jie Lim,Male,23,2026-09-09T15:52:37Z,09/09/2026 23:52,15,2,17,88.2,508,418,678,494,70,0.500,30,"[418,444,466,487,494,508,527,544,562,579,596,614,631,649,678]",Mozilla/5.0 (Linux; Android 14; Pixel 8 Pro),virtual-blazepod
2026-09-10T08:20:55Z,Hannah Ismail,Female,29,2026-09-10T08:20:55Z,10/09/2026 16:20,13,3,16,81.3,552,449,718,538,77,0.433,30,"[449,494,518,538,566,606,718,483,528,556,583,502,614]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X),virtual-blazepod
2026-09-10T16:09:42Z,Samuel Toh,Male,56,2026-09-10T16:09:42Z,11/09/2026 00:09,7,8,15,46.7,738,588,984,712,128,0.233,30,"[588,664,712,738,821,932,984]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-11T09:04:18Z,Divya Menon,Female,25,2026-09-11T09:04:18Z,11/09/2026 17:04,14,2,16,87.5,521,428,688,507,72,0.467,30,"[428,468,491,507,534,573,688,457,502,529,556,478,514,542]",Mozilla/5.0 (Linux; Android 13; SM-S911B),virtual-blazepod
2026-09-11T14:47:33Z,Nicholas Foo,Male,37,2026-09-11T14:47:33Z,11/09/2026 22:47,11,4,15,73.3,604,483,812,588,95,0.367,30,"[483,528,563,588,626,694,812,514,571,599,626]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-12T08:33:09Z,Zoe Chan,Female,20,2026-09-12T08:33:09Z,12/09/2026 16:33,16,2,18,88.9,484,398,638,469,65,0.533,30,"[398,423,446,466,469,484,499,514,529,545,561,577,593,609,624,638]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X),virtual-blazepod
2026-09-12T15:21:44Z,Farid Hassan,Male,30,2026-09-12T15:21:44Z,12/09/2026 23:21,13,3,16,81.3,558,452,731,543,80,0.433,30,"[452,497,522,543,571,611,731,486,531,559,586,505,617]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-13T09:57:26Z,Olivia Seah,Female,42,2026-09-13T09:57:26Z,13/09/2026 17:57,10,5,15,66.7,634,506,852,618,104,0.333,30,"[506,561,602,618,664,741,852,542,584,613]",Mozilla/5.0 (iPad; CPU OS 16_6 like Mac OS X),virtual-blazepod
2026-09-13T16:38:51Z,Jonathan Yeo,Male,28,2026-09-13T16:38:51Z,14/09/2026 00:38,14,3,17,82.4,528,434,694,514,73,0.467,30,"[434,474,498,514,541,581,694,463,508,536,563,482,518,547]",Mozilla/5.0 (Linux; Android 14; Pixel 8),virtual-blazepod
2026-09-14T08:11:37Z,Mei Ling Ho,Female,35,2026-09-14T08:11:37Z,14/09/2026 16:11,12,4,16,75.0,581,466,786,566,89,0.400,30,"[466,512,546,566,602,668,786,498,552,581,613,628]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-14T14:52:19Z,Aaron Lim,Male,24,2026-09-14T14:52:19Z,14/09/2026 22:52,15,2,17,88.2,514,422,682,499,71,0.500,30,"[422,448,470,491,499,514,532,549,567,584,601,619,636,654,682]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X),virtual-blazepod
2026-09-15T09:26:04Z,Kavya Pillai,Female,31,2026-09-15T09:26:04Z,15/09/2026 17:26,13,3,16,81.3,546,443,714,532,76,0.433,30,"[443,488,513,532,559,599,714,477,522,549,576,496,608]",Mozilla/5.0 (Linux; Android 13; SM-A346E),virtual-blazepod
2026-09-15T16:14:48Z,Terrence Ang,Male,49,2026-09-15T16:14:48Z,16/09/2026 00:14,9,6,15,60.0,656,522,878,632,110,0.300,30,"[522,578,619,632,681,762,878,568,608]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-16T08:39:22Z,Isabelle Koh,Female,22,2026-09-16T08:39:22Z,16/09/2026 16:39,16,1,17,94.1,481,396,626,466,64,0.533,30,"[396,421,444,464,466,481,496,511,527,543,559,575,591,607,622,626,449]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X),virtual-blazepod
2026-09-16T15:03:57Z,Haziq Rahman,Male,33,2026-09-16T15:03:57Z,16/09/2026 23:03,12,3,15,80.0,562,455,728,547,80,0.400,30,"[455,500,525,547,575,615,728,489,534,562,589,508]",Mozilla/5.0 (Linux; Android 14; Pixel 7 Pro),virtual-blazepod
2026-09-17T09:48:13Z,Charlotte Wee,Female,44,2026-09-17T09:48:13Z,17/09/2026 17:48,10,5,15,66.7,628,502,844,612,102,0.333,30,"[502,557,597,612,658,733,844,538,579,608]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-17T16:31:39Z,Dinesh Kumar,Male,27,2026-09-17T16:31:39Z,18/09/2026 00:31,14,3,17,82.4,524,431,689,510,72,0.467,30,"[431,471,495,510,537,577,689,460,505,533,560,479,515,544]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-18T08:15:26Z,Vera Tan,Female,26,2026-09-18T08:15:26Z,18/09/2026 16:15,15,2,17,88.2,502,414,668,488,69,0.500,30,"[414,440,462,483,488,502,520,537,555,572,589,607,624,642,668]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X),virtual-blazepod
2026-09-18T14:58:02Z,Gerald Ong,Male,39,2026-09-18T14:58:02Z,18/09/2026 22:58,11,4,15,73.3,596,477,802,579,93,0.367,30,"[477,522,557,579,617,685,802,508,565,593,620]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-19T09:33:48Z,Anisa Lim,Female,30,2026-09-19T09:33:48Z,19/09/2026 17:33,13,3,16,81.3,550,447,716,536,77,0.433,30,"[447,492,516,536,564,604,716,481,526,554,581,500,612]",Mozilla/5.0 (Linux; Android 13; SM-S918B),virtual-blazepod
2026-09-19T16:22:15Z,Patrick Sng,Male,53,2026-09-19T16:22:15Z,20/09/2026 00:22,8,7,15,53.3,704,562,936,681,119,0.267,30,"[562,631,681,704,782,894,936,617]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-20T08:07:31Z,Serena Goh,Female,23,2026-09-20T08:07:31Z,20/09/2026 16:07,16,2,18,88.9,486,400,640,471,65,0.533,30,"[400,425,448,468,471,486,501,516,531,547,563,579,595,611,626,640]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X),virtual-blazepod
2026-09-20T15:44:57Z,Lucas Tan,Male,25,2026-09-20T15:44:57Z,20/09/2026 23:44,15,2,17,88.2,510,420,674,496,70,0.500,30,"[420,446,468,489,496,510,528,545,563,580,597,615,632,650,674]",Mozilla/5.0 (Linux; Android 14; Pixel 8),virtual-blazepod
2026-09-21T09:19:42Z,Nadia Osman,Female,38,2026-09-21T09:19:42Z,21/09/2026 17:19,11,4,15,73.3,592,474,796,575,92,0.367,30,"[474,519,553,575,613,681,796,505,561,589,616]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-21T16:08:19Z,Benjamin Lee,Male,32,2026-09-21T16:08:19Z,22/09/2026 00:08,13,3,16,81.3,556,451,726,541,79,0.433,30,"[451,496,521,541,569,609,726,485,530,558,585,504,615]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-22T08:41:05Z,Tanya Raj,Female,21,2026-09-22T08:41:05Z,22/09/2026 16:41,17,1,18,94.4,470,384,620,454,63,0.567,30,"[384,409,431,451,454,469,484,499,514,530,546,562,578,594,610,620,442]",Mozilla/5.0 (Linux; Android 13; SM-A546E),virtual-blazepod
2026-09-22T15:27:48Z,Marcus Lim,Male,46,2026-09-22T15:27:48Z,22/09/2026 23:27,9,6,15,60.0,662,527,884,638,111,0.300,30,"[527,583,624,638,687,768,884,573,613]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-23T09:02:34Z,Layla Ahmad,Female,28,2026-09-23T09:02:34Z,23/09/2026 17:02,14,3,17,82.4,530,436,696,516,73,0.467,30,"[436,476,500,516,543,583,696,465,510,538,565,484,520,549]",Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X),virtual-blazepod
2026-09-23T16:39:11Z,Damien Chua,Male,40,2026-09-23T16:39:11Z,24/09/2026 00:39,10,5,15,66.7,638,510,858,622,105,0.333,30,"[510,565,606,622,668,745,858,546,588,617]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-24T08:24:57Z,Cheryl Ng,Female,34,2026-09-24T08:24:57Z,24/09/2026 16:24,12,4,16,75.0,584,468,790,568,90,0.400,30,"[468,514,548,568,604,670,790,500,554,583,615,631]",Mozilla/5.0 (iPad; CPU OS 17_5 like Mac OS X),virtual-blazepod
2026-09-24T15:13:23Z,Iqbal Salleh,Male,22,2026-09-24T15:13:23Z,24/09/2026 23:13,15,2,17,88.2,506,416,670,492,70,0.500,30,"[416,442,464,485,492,506,524,541,559,576,593,611,628,646,670]",Mozilla/5.0 (Linux; Android 14; Pixel 8 Pro),virtual-blazepod
2026-09-25T09:48:09Z,Rebecca Tan,Female,50,2026-09-25T09:48:09Z,25/09/2026 17:48,8,7,15,53.3,708,564,942,684,120,0.267,30,"[564,634,684,708,788,899,942,621]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-25T16:35:46Z,Shawn Tan,Male,29,2026-09-25T16:35:46Z,26/09/2026 00:35,13,3,16,81.3,554,449,722,539,79,0.433,30,"[449,494,519,539,567,607,722,483,528,556,583,502,613]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-26T08:19:32Z,Amirah Zain,Female,19,2026-09-26T08:19:32Z,26/09/2026 16:19,17,1,18,94.4,464,380,614,448,62,0.567,30,"[380,405,427,447,448,463,478,493,508,524,540,556,572,588,604,614,436]",Mozilla/5.0 (Linux; Android 13; SM-S911B),virtual-blazepod
2026-09-26T15:06:18Z,Victor Wong,Male,36,2026-09-26T15:06:18Z,26/09/2026 23:06,12,3,15,80.0,568,460,732,553,81,0.400,30,"[460,505,530,553,581,621,732,494,539,567,594,513]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-27T09:41:04Z,Elena Lim,Female,43,2026-09-27T09:41:04Z,27/09/2026 17:41,10,5,15,66.7,632,504,848,616,103,0.333,30,"[504,559,600,616,662,738,848,540,582,611]",Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X),virtual-blazepod
2026-09-27T16:28:41Z,Harish Nair,Male,26,2026-09-27T16:28:41Z,28/09/2026 00:28,14,3,17,82.4,522,429,687,508,72,0.467,30,"[429,469,493,508,535,575,687,458,503,531,558,477,513,542]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
2026-09-28T08:13:27Z,Joanne Sim,Female,32,2026-09-28T08:13:27Z,28/09/2026 16:13,13,3,16,81.3,548,445,712,534,77,0.433,30,"[445,490,515,534,562,602,712,479,524,552,579,498,610]",Mozilla/5.0 (iPad; CPU OS 17_5 like Mac OS X),virtual-blazepod
2026-09-28T15:02:53Z,Russell Toh,Male,51,2026-09-28T15:02:53Z,28/09/2026 23:02,8,7,15,53.3,702,560,932,678,118,0.267,30,"[560,629,678,702,778,889,932,614]",Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),virtual-blazepod
2026-09-29T09:37:39Z,Meera Das,Female,24,2026-09-29T09:37:39Z,29/09/2026 17:37,15,2,17,88.2,504,415,666,490,69,0.500,30,"[415,441,463,484,490,504,522,539,557,574,591,609,626,644,666]",Mozilla/5.0 (Linux; Android 14; Pixel 8),virtual-blazepod
2026-09-29T16:24:15Z,Clarence Goh,Male,35,2026-09-29T16:24:15Z,30/09/2026 00:24,12,4,16,75.0,580,465,784,564,89,0.400,30,"[465,511,545,564,600,666,784,497,551,580,612,627]",Mozilla/5.0 (Windows NT 10.0; Win64; x64),virtual-blazepod
